variant_slug,support,canal,type,date,periodicite,specs_techniques,notes
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Parution,10/10/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Bouclage,14/11/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Parution,5/12/2025,Trimestriel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/12/2024,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,5/1/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/1/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,5/2/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/2/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,5/3/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/3/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,5/4/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/4/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,5/5/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/5/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,5/6/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/6/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,5/7/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/8/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,5/9/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/9/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,5/10/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/10/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,5/11/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/11/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,5/12/2025,Mensuel,,
batimetiers::print,BATIMETIERS,Print,Bouclage,20/2/2025,Trimestriel,,
batimetiers::print,BATIMETIERS,Print,Parution,13/3/2025,Trimestriel,,
batimetiers::print,BATIMETIERS,Print,Bouclage,22/5/2025,Trimestriel,,
batimetiers::print,BATIMETIERS,Print,Parution,12/6/2025,Trimestriel,,
batimetiers::print,BATIMETIERS,Print,Bouclage,14/8/2025,Trimestriel,,
batimetiers::print,BATIMETIERS,Print,Parution,4/9/2025,Trimestriel,,
batimetiers::print,BATIMETIERS,Print,Bouclage,13/11/2025,Trimestriel,,
batimetiers::print,BATIMETIERS,Print,Parution,4/12/2025,Trimestriel,,
bardage-info::print,BARDAGE INFO,Print,Bouclage,11/4/2025,2 Numéros / an,,
bardage-info::print,BARDAGE INFO,Print,Parution,14/5/2025,2 Numéros / an,,
bardage-info::print,BARDAGE INFO,Print,Bouclage,2/10/2025,2 Numéros / an,,
bardage-info::print,BARDAGE INFO,Print,Parution,3/11/2025,2 Numéros / an,,
beauty-forum::print,BEAUTY FORUM,Print,Bouclage,15/1/2025,Bimestriel,,
beauty-forum::print,BEAUTY FORUM,Print,Parution,15/2/2025,Bimestriel,,
beauty-forum::print,BEAUTY FORUM,Print,Bouclage,6/3/2025,Bimestriel,,
beauty-forum::print,BEAUTY FORUM,Print,Parution,1/4/2025,Bimestriel,,
beauty-forum::print,BEAUTY FORUM,Print,Bouclage,17/4/2025,Bimestriel,,
beauty-forum::print,BEAUTY FORUM,Print,Parution,15/5/2025,Bimestriel,,
beauty-forum::print,BEAUTY FORUM,Print,Bouclage,19/7/2025,Bimestriel,,
beauty-forum::print,BEAUTY FORUM,Print,Parution,5/9/2025,Bimestriel,,
beauty-forum::print,BEAUTY FORUM,Print,Bouclage,19/9/2025,Bimestriel,,
beauty-forum::print,BEAUTY FORUM,Print,Parution,20/10/2025,Bimestriel,,
be-a-boss::print,BE A BOSS,Print,Bouclage,22/5/2025,Bimestriel,,
be-a-boss::print,BE A BOSS,Print,Parution,11/6/2025,Bimestriel,,
be-a-boss::print,BE A BOSS,Print,Bouclage,28/7/2025,Bimestriel,,
be-a-boss::print,BE A BOSS,Print,Parution,25/8/2025,Bimestriel,,
be-a-boss::print,BE A BOSS,Print,Bouclage,24/11/2025,Bimestriel,,
be-a-boss::print,BE A BOSS,Print,Parution,8/12/2025,Bimestriel,,
betteravier-fran-ais::print,BETTERAVIER FRANÇAIS,Print,Bouclage,6/1/2025,Mensuel,,
betteravier-fran-ais::print,BETTERAVIER FRANÇAIS,Print,Bouclage,20/1/2025,Mensuel,,
betteravier-fran-ais::print,BETTERAVIER FRANÇAIS,Print,Bouclage,3/2/2025,Mensuel,,
betteravier-fran-ais::print,BETTERAVIER FRANÇAIS,Print,Bouclage,17/2/2025,Mensuel,,
betteravier-fran-ais::print,BETTERAVIER FRANÇAIS,Print,Bouclage,3/3/2025,Mensuel,,
betteravier-fran-ais::print,BETTERAVIER FRANÇAIS,Print,Bouclage,17/3/2025,Mensuel,,
