variant_slug,support,support_slug,Canal,periodicite_print,diffusion_print,format_print,Visites par mois Web,Pages vues par mois Web,Nombre d'envois NL,tarif_brut,tarif_net
geriatrie-et-psychologie-neuropsychiatrie-du-vieillissement::print,GERIATRIE ET PSYCHOLOGIE NEUROPSYCHIATRIE DU VIEILLISSEMENT,geriatrie-et-psychologie-neuropsychiatrie-du-vieillissement,Print,Trimestriel,2000,210 x 270,,,,4700,3196
geroscopie::print,GEROSCOPIE,geroscopie,Print,Mensuel,9000,210 x 270,,,,5100,3468
gestion-de-fortune::print,GESTION DE FORTUNE,gestion-de-fortune,Print,Mensuel,30000,265 X 200,,,,7600,5168
gestions-hospitalieres::print,GESTIONS HOSPITALIERES,gestions-hospitalieres,Print,Mensuel,1000,210 x 297,,,,4080,2774.4
gpo-mag::print,GPO MAG,gpo-mag,Print,Semestriel,,210 x 297,,,,3750,2550
grandes-cuisines::print,GRANDES CUISINES,grandes-cuisines,Print,Trimestriel,5000,210 x 297,,,,4500,3060
green-innovation::print,GREEN INNOVATION,green-innovation,Print,Trimestriel,20000,210 x 297,,,,11000,7480
green-touch::print,GREEN TOUCH,green-touch,Print,10 Numéros / an,20000,210 x 297,,,,11000,7480
gynecologie-obstetrique-pratique::print,GYNECOLOGIE OBSTETRIQUE PRATIQUE,gynecologie-obstetrique-pratique,Print,Mensuel,9413,290x430,,,,9900,6732
hematologie::print,HEMATOLOGIE,hematologie,Print,Bimestriel,1500,210 x 270,,,,5800,3944
hepato-gastro-et-oncologie-digestive::print,HEPATO GASTRO ET ONCOLOGIE DIGESTIVE,hepato-gastro-et-oncologie-digestive,Print,Mensuel,4000,210 x 270,,,,5800,3944
honore-le-mag::print,HONORE LE MAG,honore-le-mag,Print,Bimestriel,14000,210 x 297,,,,3900,2652
hospitality-on::print,HOSPITALITY ON,hospitality-on,Print,Mensuel,7000,210 x 297,,,,5000,3400
hydrogenium::print,HYDROGENIUM,hydrogenium,Print,Trimestriel,15000,210 x 297,,,,7000,4760
hydroplus::print,HYDROPLUS,hydroplus,Print,5 Numéros / an,5410,195 x 260,,,,7000,4760
images-en-dermatologie::print,IMAGES EN DERMATOLOGIE,images-en-dermatologie,Print,Bimestriel,4000,,,,,8700,5916
images-en-ophtalmologie::print,IMAGES EN OPHTALMOLOGIE,images-en-ophtalmologie,Print,Bimestriel,5500,,,,,8700,5916
industries-cosmetiques::print,INDUSTRIES COSMETIQUES,industries-cosmetiques,Print,Trimestriel,6000,210 x 297,,,,3990,2713.2
inffo-formation::print,INFFO FORMATION,inffo-formation,Print,Bimensuel,1106,,,,,2915,1982.2
